DateTime,Open,High,Low,Close,Adj Close,Volume
2025-07-17 04:00:00,52.0,52.02,51.96,52.01,52.01,39577
2025-07-17 05:00:00,52.0,52.03,52.0,52.03,52.03,5376
2025-07-17 06:00:00,52.03,52.03,51.98,51.98,51.98,21040
2025-07-17 07:00:00,51.98,51.98,51.93,51.95,51.95,10030
2025-07-17 08:00:00,51.99,52.05,51.91,51.99,51.99,45409
2025-07-17 09:00:00,52.0,52.32,51.8,52.215,52.215,8146322
2025-07-17 10:00:00,52.21,52.31,51.99,52.115,52.115,5525266
2025-07-17 11:00:00,52.115,52.34,52.11,52.28,52.28,4456544
2025-07-17 12:00:00,52.285,52.36,52.21,52.235,52.235,4401439
2025-07-17 13:00:00,52.235,52.37,52.215,52.32,52.32,3310755
2025-07-17 14:00:00,52.325,52.57,52.32,52.545,52.545,4476886
2025-07-17 15:00:00,52.545,52.6,52.475,52.53,52.53,11829409
2025-07-17 16:00:00,52.53,52.57,52.3853,52.45,52.45,12271299
2025-07-17 17:00:00,52.51,52.51,52.44,52.46,52.46,37729
2025-07-17 18:00:00,52.46,52.51,52.45,52.4602,52.4602,3203097
2025-07-17 19:00:00,52.49,52.52,52.49,52.52,52.52,2435
2025-07-17 20:00:00,52.51,52.51,52.51,52.51,52.51,3189460
2025-07-18 04:00:00,52.56,52.66,52.56,52.64,52.64,74860
2025-07-18 05:00:00,52.64,52.66,52.64,52.65,52.65,1780
2025-07-18 06:00:00,52.65,52.65,52.59,52.61,52.61,13671
2025-07-18 07:00:00,52.61,52.62,52.51,52.55,52.55,42173
2025-07-18 08:00:00,52.54,52.72,52.51,52.63,52.63,49687
2025-07-18 09:00:00,52.63,52.69,52.465,52.59,52.59,3845724
2025-07-18 10:00:00,52.595,52.645,52.43,52.485,52.485,6703310
2025-07-18 11:00:00,52.49,52.61,52.48,52.6,52.6,3378693
2025-07-18 12:00:00,52.5967,52.635,52.47,52.495,52.495,5327650
2025-07-18 13:00:00,52.4948,52.5565,52.46,52.5366,52.5366,2614547
2025-07-18 14:00:00,52.53,52.56,52.45,52.52,52.52,2025873
2025-07-18 15:00:00,52.51,52.6,52.47,52.53,52.53,4741368
2025-07-18 16:00:00,52.54,52.58,52.49,52.5,52.5,2317164
2025-07-18 17:00:00,52.54,52.54,52.5,52.52,52.52,20297
2025-07-18 18:00:00,52.52,52.54,52.5,52.5299,52.5299,703488
2025-07-18 19:00:00,52.5201,52.53,52.52,52.5206,52.5206,2508
2025-07-18 20:00:00,52.54,52.54,52.54,52.54,52.54,690244
2025-07-21 04:00:00,52.68,52.69,52.63,52.69,52.69,15341
2025-07-21 05:00:00,52.67,52.69,52.67,52.69,52.69,3868
2025-07-21 06:00:00,52.69,52.7,52.65,52.66,52.66,8374
2025-07-21 07:00:00,52.66,52.67,52.61,52.62,52.62,23952
2025-07-21 08:00:00,52.6509,52.69,52.5,52.59,52.59,44144
2025-07-21 09:00:00,52.59,52.72,52.53,52.72,52.72,4412527
2025-07-21 10:00:00,52.7174,52.775,52.62,52.743,52.743,5181843
2025-07-21 11:00:00,52.745,52.94,52.735,52.91,52.91,4053641
2025-07-21 12:00:00,52.91,52.9178,52.81,52.83,52.83,5156092
