DateTime,Open,High,Low,Close,Adj Close,Volume
2025-07-17 04:00:00,1084.99,1084.99,1081.0,1082.0,1082.0,52
2025-07-17 05:00:00,1082.0,1083.88,1080.01,1081.1,1081.1,121
2025-07-17 06:00:00,1083.44,1084.69,1080.0,1083.97,1083.97,79
2025-07-17 07:00:00,1081.34,1083.79,1080.0,1082.0,1082.0,659
2025-07-17 08:00:00,1082.0,1090.7182,1068.9933,1082.0,1082.0,543
2025-07-17 09:00:00,1082.0,1101.845,1077.11,1100.41,1100.41,107625
2025-07-17 10:00:00,1100.36,1101.7126,1089.8432,1098.16,1098.16,238976
2025-07-17 11:00:00,1098.78,1104.9085,1097.34,1102.0,1102.0,142850
2025-07-17 12:00:00,1102.75,1104.66,1097.91,1100.39,1100.39,85815
2025-07-17 13:00:00,1100.8912,1106.73,1099.75,1106.07,1106.07,105958
2025-07-17 14:00:00,1106.11,1109.29,1104.78,1107.89,1107.89,124342
2025-07-17 15:00:00,1107.95,1109.23,1105.5,1105.55,1105.55,252858
2025-07-17 16:00:00,1105.55,1113.29,1093.0,1105.38,1105.38,268243
2025-07-17 17:00:00,1105.63,1124.0,1093.0,1093.0001,1093.0001,126
2025-07-17 18:00:00,1105.58,1124.0,1105.38,1105.7,1105.7,85466
2025-07-17 19:00:00,1105.38,1123.35,1098.0,1107.0,1107.0,85508
2025-07-18 04:00:00,1107.01,1112.82,1105.38,1106.01,1106.01,227
2025-07-18 05:00:00,1111.57,1111.57,1105.4,1110.0,1110.0,32
2025-07-18 06:00:00,1109.99,1109.99,1106.78,1109.0,1109.0,25
2025-07-18 07:00:00,1107.89,1110.99,1106.7,1110.5,1110.5,749
2025-07-18 08:00:00,1100.1867,1129.0067,1071.5,1108.1,1108.1,1587
2025-07-18 09:00:00,1110.27,1117.8491,1107.0,1117.03,1117.03,89988
2025-07-18 10:00:00,1116.815,1118.39,1111.905,1115.975,1115.975,83806
2025-07-18 11:00:00,1116.265,1119.19,1115.2,1118.49,1118.49,58864
2025-07-18 12:00:00,1118.42,1119.01,1112.24,1113.85,1113.85,45992
2025-07-18 13:00:00,1113.82,1113.82,1107.75,1109.585,1109.585,52485
2025-07-18 14:00:00,1109.52,1110.32,1104.56,1105.8,1105.8,56252
2025-07-18 15:00:00,1105.73,1106.75,1102.58,1104.66,1104.66,192526
2025-07-18 16:00:00,1104.075,1106.0,1089.0,1089.0,1089.0,1005310
2025-07-18 17:00:00,1089.0,1106.0,1089.0,1100.5,1100.5,79
2025-07-18 18:00:00,1103.274,1106.0,1085.0,1102.33,1102.33,316803
2025-07-18 19:00:00,1103.59,1106.0,1098.87,1098.87,1098.87,316856
2025-07-21 04:00:00,1106.01,1109.19,1106.01,1109.19,1109.19,114
2025-07-21 05:00:00,1107.12,1109.79,1107.12,1109.79,1109.79,9
2025-07-21 06:00:00,1108.15,1108.6,1106.02,1108.1,1108.1,49
2025-07-21 07:00:00,1108.1,1110.27,1106.21,1108.09,1108.09,133
2025-07-21 08:00:00,1106.154,1110.88,1101.5937,1106.36,1106.36,405
2025-07-21 09:00:00,1107.98,1110.71,1100.0,1103.53,1103.53,37226
2025-07-21 10:00:00,1103.53,1106.875,1102.24,1102.99,1102.99,47094
2025-07-21 11:00:00,1103.77,1110.05,1103.76,1107.61,1107.61,34105
2025-07-21 12:00:00,1106.755,1108.74,1103.58,1104.22,1104.22,16183
2025-07-21 13:00:00,1105.01,1107.17,1103.3875,1104.455,1104.455,19619
2025-07-21 14:00:00,1104.4,1105.26,1100.67,1100.77,1100.77,28691
2025-07-21 15:00:00,1101.02,1101.29,1093.25,1094.01,1094.01,124411
2025-07-21 16:00:00,1094.01,1114.88,1085.0,1085.0,1085.0,221123
2025-07-21 17:00:00,1093.56,1096.91,1085.0,1093.26,1093.26,328
2025-07-21 18:00:00,1094.94,1096.91,1089.89,1094.0,1094.0,68509
2025-07-21 19:00:00,1093.02,1095.95,1093.02,1094.61,1094.61,68457
2025-07-22 04:00:00,1096.02,1096.5,1093.02,1094.11,1094.11,64
2025-07-22 05:00:00,1094.11,1097.07,1094.11,1094.27,1094.27,35
2025-07-22 06:00:00,1095.49,1095.75,1095.49,1095.5,1095.5,10
2025-07-22 07:00:00,1096.01,1096.01,1095.0,1095.5,1095.5,316
2025-07-22 08:00:00,1095.75,1110.0067,1085.9933,1096.0,1096.0,342
2025-07-22 09:00:00,1095.61,1110.0,1088.0,1090.94,1090.94,68378
2025-07-22 10:00:00,1092.57,1095.1841,1086.18,1094.5025,1094.5025,98275
2025-07-22 11:00:00,1094.465,1098.81,1093.75,1094.24,1094.24,44621
2025-07-22 12:00:00,1093.7,1094.691,1091.4501,1094.23,1094.23,35143
2025-07-22 13:00:00,1094.23,1096.665,1092.495,1094.89,1094.89,36702
2025-07-22 14:00:00,1094.795,1100.75,1094.55,1099.5,1099.5,55098
2025-07-22 15:00:00,1100.0,1102.03,1098.135,1099.92,1099.92,128982
2025-07-22 16:00:00,1100.48,1101.0,1090.0,1090.5,1090.5,233084
2025-07-22 17:00:00,1097.48,1100.39,1097.47,1099.6,1099.6,128
2025-07-22 18:00:00,1098.0,1100.39,1091.0,1091.448,1091.448,72646
2025-07-22 19:00:00,1100.39,1108.92,1100.0,1103.0,1103.0,72717
2025-07-23 04:00:00,1105.99,1105.99,1102.31,1104.46,1104.46,103
2025-07-23 05:00:00,1104.46,1106.81,1103.7,1105.79,1105.79,101
2025-07-23 06:00:00,1105.5,1105.71,1103.95,1104.12,1104.12,52
2025-07-23 07:00:00,1104.01,1105.0,1103.11,1104.0,1104.0,126
2025-07-23 08:00:00,1105.0,1111.0,1085.0,1110.5,1110.5,598
2025-07-23 09:00:00,1105.28,1110.51,1085.9933,1108.0,1108.0,27037
2025-07-23 10:00:00,1107.99,1109.0,1103.165,1106.02,1106.02,64899
2025-07-23 11:00:00,1106.135,1111.735,1105.14,1111.73,1111.73,90509
2025-07-23 12:00:00,1111.735,1114.69,1110.6801,1113.695,1113.695,43870
