DateTime,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits,Capital Gains
2025-05-20 09:30:00-04:00,117.2699966430664,117.63999938964844,117.02999877929688,117.5199966430664,117.5199966430664,186342,0.0,0.0,0.0
2025-05-20 10:30:00-04:00,117.45800018310547,117.66999816894531,117.37999725341797,117.4800033569336,117.4800033569336,13036,0.0,0.0,0.0
2025-05-20 11:30:00-04:00,117.5199966430664,117.52999877929688,117.22000122070312,117.22000122070312,117.22000122070312,7390,0.0,0.0,0.0
2025-05-20 12:30:00-04:00,117.23999786376953,117.41000366210938,117.2249984741211,117.3499984741211,117.3499984741211,11087,0.0,0.0,0.0
2025-05-20 13:30:00-04:00,117.33999633789062,117.38500213623047,116.94000244140625,116.96009826660156,116.96009826660156,13061,0.0,0.0,0.0
2025-05-20 14:30:00-04:00,116.91999816894531,117.06999969482422,116.79000091552734,117.01000213623047,117.01000213623047,23001,0.0,0.0,0.0
2025-05-20 15:30:00-04:00,117.0199966430664,117.25920104980469,117.0199966430664,117.20999908447266,117.20999908447266,25614,0.0,0.0,0.0
2025-05-21 09:30:00-04:00,116.37999725341797,116.7699966430664,116.31999969482422,116.31999969482422,116.31999969482422,33007,0.0,0.0,0.0
2025-05-21 10:30:00-04:00,116.23999786376953,116.38999938964844,115.9000015258789,116.12000274658203,116.12000274658203,24717,0.0,0.0,0.0
2025-05-21 11:30:00-04:00,116.13500213623047,116.20999908447266,116.0613021850586,116.18000030517578,116.18000030517578,22807,0.0,0.0,0.0
2025-05-21 12:30:00-04:00,116.16000366210938,116.37000274658203,115.01000213623047,115.05000305175781,115.05000305175781,34096,0.0,0.0,0.0
2025-05-21 13:30:00-04:00,114.87999725341797,115.47000122070312,114.83000183105469,115.16000366210938,115.16000366210938,122867,0.0,0.0,0.0
2025-05-21 14:30:00-04:00,115.12999725341797,115.26000213623047,114.67500305175781,114.69999694824219,114.69999694824219,71508,0.0,0.0,0.0
2025-05-21 15:30:00-04:00,114.72000122070312,115.05000305175781,114.69999694824219,114.69999694824219,114.69999694824219,39036,0.0,0.0,0.0
2025-05-22 09:30:00-04:00,114.38999938964844,114.6500015258789,114.16999816894531,114.2300033569336,114.2300033569336,59278,0.0,0.0,0.0
2025-05-22 10:30:00-04:00,114.27999877929688,114.63999938964844,114.05000305175781,114.5999984741211,114.5999984741211,22952,0.0,0.0,0.0
2025-05-22 11:30:00-04:00,114.5199966430664,114.93000030517578,114.5199966430664,114.69000244140625,114.69000244140625,23658,0.0,0.0,0.0
